,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,cluster_id
s795,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s796,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s797,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s798,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s799,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s800,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s801,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s802,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s803,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s804,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s805,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s807,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s809,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s810,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s811,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s812,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s813,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s814,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s815,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s816,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s817,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s818,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s819,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s820,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s821,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s822,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s823,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s824,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s825,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s826,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s827,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s828,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s829,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s830,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s831,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s832,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s834,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s835,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s836,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s837,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s838,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s840,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s841,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s842,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s843,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s844,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s845,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s846,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s847,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s848,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s849,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s850,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s851,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s852,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s853,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s854,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s855,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s856,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s857,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,2
s858,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s859,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s860,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s861,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s862,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s863,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s864,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s865,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s866,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s867,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s868,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s869,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s870,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s871,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s872,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s873,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s874,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s875,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s876,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s877,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s878,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s879,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s881,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s882,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s883,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s884,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s885,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s886,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s887,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s888,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s889,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s890,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,7
s891,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s892,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s893,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s895,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s896,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s897,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s899,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s900,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s901,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s902,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s903,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s904,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s905,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s906,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s907,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s908,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s909,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s910,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s911,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s912,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s914,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s915,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s916,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s917,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s918,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s919,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s920,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s921,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s922,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s923,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s924,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s925,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s926,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s927,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s928,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s930,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s931,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s933,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s934,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s935,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s936,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s937,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s938,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s940,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s941,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s942,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s943,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s944,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s945,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s947,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s948,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s949,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s950,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s951,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
s952,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s953,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s954,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s955,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s956,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s957,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s958,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
s959,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s960,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s961,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s962,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s963,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s964,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s965,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s966,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s967,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5
s968,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s969,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s970,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,5
s971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s972,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2
s973,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s974,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,6
s975,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,7
s976,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
s977,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s978,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s979,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s981,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s982,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,2
s983,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
s984,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,2
s985,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s986,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s987,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s989,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s990,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
s991,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
s992,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,3
s993,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,4
s994,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,5
s995,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,5
s996,1,1,1,1,0,1,0,0,0,1,0,0,1,0,0,8
s997,1,1,1,1,0,1,0,1,1,0,0,0,0,1,0,6
s998,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,6
s999,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,9
